Title,Link,Published,Published_utc,Predicted_Risks_Upd,Recency_Upd,Acceleration_value_Upd,Source_Accuracy_Upd,Impact_Score_Upd,Location_Upd,Industry_Risk_Upd,Frequency_Score_Upd,Change reason,Changed_at,Reviewed,Reviewed_at,Unnamed: 0,story_id,canonical_title,summary,article_count,avg_risk_score,avg_frequency,avg_recency,avg_acceleration,avg_source_accuracy,avg_impact_score,avg_industry_risk,avg_location,risk_label,last_seen,item_type,Content,Source,Entities,Topic,Probability,Predicted_Risks,Location,pred_source,Predicted_Risks_new,Pred_LR_label,Pred_cos_label_all,Pred_cos_score_all,University Label,Pred_LR_margin,chosen_label_sim,best_alt_sim,semantic_margin,Week,Days_Ago,_RiskList,Risk_item,Source_Accuracy,Frequency_Score,Industry_Risk_Presence,_tulane_flag,Industry_Risk_Peer,Industry_Risk,Impact_Score,Article_Freshness,Recency,Acceleration_value,Risk_Score,Weights,Summary,Keyword,Text,ArticleID,Source_bias,Published_raw,Time_Window,Acceleration,Detected_Risks,ArticleID.19,ArticleID.18,ArticleID.17,ArticleID.16,ArticleID.15,ArticleID.14,ArticleID.13,ArticleID.12,ArticleID.11,ArticleID.10,ArticleID.9,ArticleID.8,ArticleID.7,ArticleID.6,ArticleID.5,ArticleID.4,ArticleID.3,ArticleID.2,ArticleID.1,article_freshness,Recency_TR_Blended,Sentiment Score,Detected_HigherEd_Categories,Predicted_Risk_Single,StreamlitCosine,Assigned_how,last_seen_days,decayed_volume,recency_score_tr_tr,Keywords,is_tulane_specific,is_local_relevance,is_urgent_weather,is_major_policy,is_major_incident,immediate_alert_score,immediate_alert_override,is_immediate_alert,immediate_alert_priority,immediate_alert_reason,classification_disagreement,average_risk_score,average_recency,articles,canonical_source,story_articles_count,Window,Cluster,Event_Label,Event_Severity,Embeddings,Manual_Cross_List,Manual_Risk_Confidence,Manual_Risk_Reason,Cross_List_Source_Risk,Link_norm,dedupe_key,Risk_Normalized,Topic_name,Risk_Score_y,Content_trunc,Story_Recency_Score,Story_Recency
I’m Watching the Sacrifice of College’s Soul,https://www.nytimes.com/2025/07/14/opinion/college-soul-ai-education.html,2025-07-14 23:55:43+00:00,,['Academic Disruption'],5.0,5.0,5.0,0.0,1.0,0.0,5.0,Risk happened in the United States,2025-08-12 17:04:14+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Education Department to revive student loan interest for borrowers in SAVE program,https://lailluminator.com/2025/07/09/repub/student-loan-interest/,2025-07-09 21:03:34+00:00,,,,,,,,,,,2025-08-13 16:42:01.263293+00:00,1,2025-08-13 16:42:01.263264+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Education Department to revive student loan interest for borrowers in SAVE program,https://lailluminator.com/2025/07/09/repub/student-loan-interest/,2025-07-09 21:03:34+00:00,,['No Risk'],5.0,5.0,3.5,0.0,1.0,0.0,5.0,Risk happened in the United States,2025-08-13 16:42:44+00:00,1,2025-08-13 16:42:44.796595+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia and Trump Near a Deal, With School Possibly Paying Millions",https://www.nytimes.com/2025/07/11/nyregion/columbia-university-trump-deal-antisemitism.html,2025-07-12 02:17:52+00:00,,['Research Funding Disruption'],5.0,5.0,5.0,0.0,0.0,0.0,5.0,,2025-08-13 17:28:52+00:00,1,2025-08-13 17:28:52.352383+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWN Jobs – NLP and Speech - Open Rank Faculty,https://www.universityworldnews.com/mbzuai-job.php?id=154597,2025-07-10 05:31:00+00:00,,['No Risk'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,This information represents no risk to Tulane University.,2025-08-14 15:19:58+00:00,1,2025-08-14 15:19:58.988867+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWN Jobs – NLP and Speech - Open Rank Faculty,https://www.universityworldnews.com/mbzuai-job.php?id=154597,2025-07-10 05:31:00+00:00,,,,,,,,,,,2025-08-14 15:20:07.304786+00:00,1,2025-08-14 15:20:07.304754+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWN Jobs – NLP and Speech - Open Rank Faculty,https://www.universityworldnews.com/mbzuai-job.php?id=154597,2025-07-10 05:31:00+00:00,,,,,,,,,,,2025-08-14 15:21:09.169781+00:00,1,2025-08-14 15:21:09.169756+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LSU football lands Lamar Brown, the best recruit in Louisiana and top-5 player in 2026 class",https://www.theadvocate.com/baton_rouge/sports/lsu/lamar-brown-commits-lsu-football-top-louisiana-recruit/article_9dbecd9e-e488-585d-ac20-6bf1707f26d3.html,2025-07-10 17:20:00+00:00,,['No Risk'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-08-14 15:22:52+00:00,1,2025-08-14 15:22:52.142389+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery Henson | Oregon Tech,https://www.oit.edu/stories/avery-henson,2025-07-12 05:31:00+00:00,,['No Risk'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-08-14 18:46:52+00:00,1,2025-08-14 18:46:52.845709+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Why the search for meaning can cause 'purpose anxiety,' and what to do about it",https://abcnews.go.com/Health/wireStory/search-meaning-cause-purpose-anxiety-124407673,2025-08-06 15:01:11,,['No Risk'],5.0,0.0,4.0,0.0,0.0,0.0,3.0,Risk does not pertain to tulane university,2025-08-14 22:33:07+00:00,1,2025-08-14 22:33:07.387538+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada wildfire season already second worst on record as experts warn of ‘new reality’,https://www.theguardian.com/world/2025/aug/11/canada-wildfire-season,2025-08-11 20:08:49,,['No Risk'],5.0,0.0,4.0,0.0,0.0,0.0,5.0,Risk does not pertain to Tulane University or higher education,2025-08-14 22:33:59+00:00,1,2025-08-14 22:33:59.515442+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT+: How a Colorado dietitian became Instagram’s top MAHA critic,https://www.statnews.com/2025/08/08/jessica-knurick-fights-maha-mom-misinformation/?utm_campaign=rss,2025-08-08 08:30:00,,['No Risk'],5.0,0.0,5.0,0.0,0.0,0.0,4.0,No risk regarding Tulane University,2025-08-14 23:13:40+00:00,1,2025-08-14 23:13:40.425475+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
