Window,Cluster,Predicted_Risks_new,Title,Content_trunc,Event_Severity,Event_Label,Acceleration_value,Recency,Source_Accuracy,Impact_Score,Location,Industry_Risk,Frequency_Score,combined_text,similarity,rel_cos,margin,rel_margin,raw_score,rank,decay_weight,weighted_strength
2025-01-07 00:00:00+00:00,144.0,Enrollment Pressure,"New Data on Enrollment, Finance, Employees, and Academic Libraries in Postsecondary Education","IPEDS Survey Components
Data are submitted at the aggregated-level from postsecondary institutions and do not have student-level information. Institutions submit data through 13 interrelated survey components about general higher education topics for 3 reporting periods.
Click for more information on IPEDS methodology.
View web tables from the latest IPEDS Spring data collection.
View the data release memo for the latest IPEDS Spring data collection.
Latest Data Releases
2023-24 Collection | Rel",2.411,"New Data on Enrollment, Finance, Employees, and Academic Libraries in Postsecondary Education",1,0.01,5.0,3.6,0.0,3.0,5.0,"New Data on Enrollment, Finance, Employees, and Academic Libraries in Postsecondary EducationIPEDS Survey Components
Data are submitted at the aggregated-level from postsecondary institutions and do not have student-level information. Institutions submit data through 13 interrelated survey components about general higher education topics for 3 reporting periods.
Click for more information on IPEDS methodology.
View web tables from the latest IPEDS Spring data collection.
View the data release memo for the latest IPEDS Spring data collection.
Latest Data Releases
2023-24 Collection | Rel",0.43345693,0.84246105,-0.046635926,0.28237352,1.6260622571706773,1,1.0,1.6260622571706773
2025-05-06 00:00:00+00:00,145.0,Research Funding Disruption,How Are Childcare Costs Issued to Ruth L. Kirschstein National Research Service Award (NRSA) Institutional Research Training Awards?,"How Are Childcare Costs Issued to Ruth L. Kirschstein National Research Service Award (NRSA) Institutional Research Training Awards?
NIH has recently revised the process by which NRSA childcare funds are distributed to institutional research training awards. NIH will now provide annual childcare costs for 25% of the full-time predoctoral or postdoctoral NRSA training appointment slots at the time each new, renewal or continuation awards is made. If additional funds are needed (e.g., more than 25",2.808,How Are Childcare Costs Issued to Ruth L. Kirschstein National Research Service Award (NRSA) Institutional Research Training Awards?,1,1.62,5.0,3.9,1.0,3.0,5.0,"How Are Childcare Costs Issued to Ruth L. Kirschstein National Research Service Award (NRSA) Institutional Research Training Awards?How Are Childcare Costs Issued to Ruth L. Kirschstein National Research Service Award (NRSA) Institutional Research Training Awards?
NIH has recently revised the process by which NRSA childcare funds are distributed to institutional research training awards. NIH will now provide annual childcare costs for 25% of the full-time predoctoral or postdoctoral NRSA training appointment slots at the time each new, renewal or continuation awards is made. If additional funds are needed (e.g., more than 25",0.27326578,0.28820375,-0.031535894,0.3473478,0.859099024772644,1,1.0,0.859099024772644
2025-05-20 00:00:00+00:00,148.0,Policy or Political Interference,"Trump administration bars Harvard from enrolling foreign students, including current ones Harvard sues Trump administration over barring enrollment of foreign students Federal judge blocks Trump administration&#8217;s efforts to prevent foreign students from enrolling at Harvard Trump&#8217;s foreign student ban leaves Belgian princess in doubt about her Harvard future","Collin Binkley, Associated Press
Collin Binkley, Associated Press
Michael Casey, Associated Press
Michael Casey, Associated Press
Leave your feedback
WASHINGTON (AP) — The Trump administration revoked Harvard University’s ability to enroll international students in its escalating battle with the Ivy League school, saying thousands of current students must transfer to other schools or leave the country.
The Department of Homeland Security announced the action Thursday, saying Harvard has created  Collin Binkley, Associated Press
Collin Binkley, Associated Press
Leave your feedback
WASHINGTON (AP) — Harvard University is challenging the Trump administration’s decision to bar the Ivy League school from enrolling foreign students, calling it unconstitutional retaliation for defying the White House’s political demands.
In a lawsuit filed Friday in federal court in Boston, Harvard said the government’s action violates the First Amendment and will have an “immediate and devastating effect for  Collin Binkley, Associated Press
Collin Binkley, Associated Press
Leave your feedback
WASHINGTON (AP) — A federal judge has blocked a Trump administration decision to revoke Harvard University’s ability to enroll international students.
The temporary restraining order stops the government from pulling Harvard’s certification in the Student and Exchange Visitor Program, which allows the school to host international students with visas to study in the U.S.
Harvard filed the lawsuit in U.S. Distric Associated Press
Associated Press
Leave your feedback
BRUSSELS (AP) — Belgium’s Royal Palace said Friday that Princess Elisabeth, who is first in line to the throne, is waiting to find out whether she can return to Harvard for her second year after U.S. President Donald Trump announced a ban on foreign students at the university.
The Trump administration on Thursday revoked Harvard University’s ability to enroll international students in its escalating battle with the Ivy League school, saying t",2.466,Trump-Related Conflicts Involving Education/Government Funding,1,0.01,4.0,3.9,1.0,3.0,5.0,"Trump administration bars Harvard from enrolling foreign students, including current ones Harvard sues Trump administration over barring enrollment of foreign students Federal judge blocks Trump administration&#8217;s efforts to prevent foreign students from enrolling at Harvard Trump&#8217;s foreign student ban leaves Belgian princess in doubt about her Harvard futureCollin Binkley, Associated Press
Collin Binkley, Associated Press
Michael Casey, Associated Press
Michael Casey, Associated Press
Leave your feedback
WASHINGTON (AP) — The Trump administration revoked Harvard University’s ability to enroll international students in its escalating battle with the Ivy League school, saying thousands of current students must transfer to other schools or leave the country.
The Department of Homeland Security announced the action Thursday, saying Harvard has created  Collin Binkley, Associated Press
Collin Binkley, Associated Press
Leave your feedback
WASHINGTON (AP) — Harvard University is challenging the Trump administration’s decision to bar the Ivy League school from enrolling foreign students, calling it unconstitutional retaliation for defying the White House’s political demands.
In a lawsuit filed Friday in federal court in Boston, Harvard said the government’s action violates the First Amendment and will have an “immediate and devastating effect for  Collin Binkley, Associated Press
Collin Binkley, Associated Press
Leave your feedback
WASHINGTON (AP) — A federal judge has blocked a Trump administration decision to revoke Harvard University’s ability to enroll international students.
The temporary restraining order stops the government from pulling Harvard’s certification in the Student and Exchange Visitor Program, which allows the school to host international students with visas to study in the U.S.
Harvard filed the lawsuit in U.S. Distric Associated Press
Associated Press
Leave your feedback
BRUSSELS (AP) — Belgium’s Royal Palace said Friday that Princess Elisabeth, who is first in line to the throne, is waiting to find out whether she can return to Harvard for her second year after U.S. President Donald Trump announced a ban on foreign students at the university.
The Trump administration on Thursday revoked Harvard University’s ability to enroll international students in its escalating battle with the Ivy League school, saying t",0.41175282,0.7673654,-0.049260974,0.27185735,1.5257461634874345,1,1.0,1.5257461634874345
2025-05-20 00:00:00+00:00,147.0,Research Funding Disruption,"Why Did NIH Expire Some Funding Opportunities Because of the Simplified Review Framework, and What Does It Mean for My Application?","Why Did NIH Expire Some Funding Opportunities Because of the Simplified Review Framework, and What Does It Mean for My Application?
The simplified review framework went into effect earlier in 2025, and NIH has been busy preparing staff, peer reviewers, and study section chairs for its arrival at summer 2025 review meetings.
NIH has since identified some Notices of Funding Opportunity (NOFOs) that were not expired or reissued as indicated in the implementation plan shared in early 2024. To avoid ",2.808,"Why Did NIH Expire Some Funding Opportunities Because of the Simplified Review Framework, and What Does It Mean for My Application?",1,1.62,5.0,3.9,1.0,3.0,5.0,"Why Did NIH Expire Some Funding Opportunities Because of the Simplified Review Framework, and What Does It Mean for My Application?Why Did NIH Expire Some Funding Opportunities Because of the Simplified Review Framework, and What Does It Mean for My Application?
The simplified review framework went into effect earlier in 2025, and NIH has been busy preparing staff, peer reviewers, and study section chairs for its arrival at summer 2025 review meetings.
NIH has since identified some Notices of Funding Opportunity (NOFOs) that were not expired or reissued as indicated in the implementation plan shared in early 2024. To avoid ",0.44554666,0.88429123,0.094375074,0.86847043,2.4697622852325436,1,1.0,2.4697622852325436
2025-05-27 00:00:00+00:00,76.0,Policy or Political Interference,Federal judge extends order blocking Trump administration ban on foreign students at Harvard,"Michael Casey, Associated Press
Michael Casey, Associated Press
Annie Ma, Associated Press
Annie Ma, Associated Press
Leave your feedback
BOSTON (AP) — A federal judge on Thursday extended an order blocking the Trump administration’s attempt to bar Harvard University from enrolling foreign students.
U.S. District Judge Allison Burroughs extended the block she imposed last week with a temporary restraining order, which allows the Ivy League school to continue enrolling international students as a",2.466,Trump Administration Legal Challenges,1,0.01,4.0,3.9,1.0,3.0,5.0,"Federal judge extends order blocking Trump administration ban on foreign students at HarvardMichael Casey, Associated Press
Michael Casey, Associated Press
Annie Ma, Associated Press
Annie Ma, Associated Press
Leave your feedback
BOSTON (AP) — A federal judge on Thursday extended an order blocking the Trump administration’s attempt to bar Harvard University from enrolling foreign students.
U.S. District Judge Allison Burroughs extended the block she imposed last week with a temporary restraining order, which allows the Ivy League school to continue enrolling international students as a",0.38571692,0.6772818,-0.014808774,0.4264927,1.4846431159973146,1,1.0,1.4846431159973146
2025-05-27 00:00:00+00:00,46.0,Policy or Political Interference,U.S. stops scheduling foreign students&#8217; visa interviews while expanding social media vetting,"Matthew Lee, Associated Press
Matthew Lee, Associated Press
Annie Ma, Associated Press
Annie Ma, Associated Press
Leave your feedback
WASHINGTON (AP) — The State Department has halted the scheduling of new visa interviews for foreign students hoping to study in the U.S. while it prepares to expand the screening of their activity on social media, officials said.
A U.S. official said Tuesday the suspension is intended to be temporary and does not apply to applicants who already had scheduled their",2.603,US Visa Suspension,1,0.92,4.0,3.9,1.0,3.0,5.0,"U.S. stops scheduling foreign students&#8217; visa interviews while expanding social media vettingMatthew Lee, Associated Press
Matthew Lee, Associated Press
Annie Ma, Associated Press
Annie Ma, Associated Press
Leave your feedback
WASHINGTON (AP) — The State Department has halted the scheduling of new visa interviews for foreign students hoping to study in the U.S. while it prepares to expand the screening of their activity on social media, officials said.
A U.S. official said Tuesday the suspension is intended to be temporary and does not apply to applicants who already had scheduled their",0.3512532,0.5580383,-0.08630186,0.15109515,1.134791764676571,2,0.7,0.7943542352735997
2025-05-27 00:00:00+00:00,149.0,Research Funding Disruption,"Trump cuts to Education Department grants will cost students opportunities, educators and former employees say","Laura Santhanam
Laura Santhanam
Leave your feedback
One federal grant program changed the trajectory of Joshua Sparks’ life.
Now, that program is at risk.
As a teen, Sparks knew he wanted to go to college and become a teacher. But growing up in rural Kentucky in a low-income household without role models who had attended college, he didn’t know where to start.
He found the help he needed in the Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR UP) initiative. Through the pro",2.513,"Trump cuts to Education Department grants will cost students opportunities, educators and former employees say",1,0.32,4.0,3.9,1.0,3.0,5.0,"Trump cuts to Education Department grants will cost students opportunities, educators and former employees sayLaura Santhanam
Laura Santhanam
Leave your feedback
One federal grant program changed the trajectory of Joshua Sparks’ life.
Now, that program is at risk.
As a teen, Sparks knew he wanted to go to college and become a teacher. But growing up in rural Kentucky in a low-income household without role models who had attended college, he didn’t know where to start.
He found the help he needed in the Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR UP) initiative. Through the pro",0.46878597,0.9646987,-0.047459424,0.27904806,1.907375696003437,1,1.0,1.907375696003437
2025-06-03 00:00:00+00:00,120.0,Policy or Political Interference,Justice Department sues Texas for offering in-state tuition for students without legal residency,"Jim Vertuno, Associated Press
Jim Vertuno, Associated Press
Nadia Lathan, Associated Press
Nadia Lathan, Associated Press
Leave your feedback
AUSTIN, Texas (AP) — The Justice Department on Wednesday sought to block a Texas law that for decades has given college students without legal residency in the U.S. access to reduced in-state tuition rates.
Texas was the first state in the nation in 2001 to pass a law allowing “Dreamers,” or young adults without legal status, to be eligible for in-state tu",2.789,Texas H-1B Visa Restrictions,2,0.16,4.0,3.9,2.0,3.0,5.0,"Justice Department sues Texas for offering in-state tuition for students without legal residencyJim Vertuno, Associated Press
Jim Vertuno, Associated Press
Nadia Lathan, Associated Press
Nadia Lathan, Associated Press
Leave your feedback
AUSTIN, Texas (AP) — The Justice Department on Wednesday sought to block a Texas law that for decades has given college students without legal residency in the U.S. access to reduced in-state tuition rates.
Texas was the first state in the nation in 2001 to pass a law allowing “Dreamers,” or young adults without legal status, to be eligible for in-state tu",0.44501075,0.88243705,0.09762168,0.8757118,2.4554899652004245,1,1.0,2.4554899652004245
2025-06-03 00:00:00+00:00,148.0,Policy or Political Interference,Trump is aiming to stop Harvard University&#8217;s foreign students from entering the U.S.,"Collin Binkley, Associated Press
Collin Binkley, Associated Press
Leave your feedback
WASHINGTON (AP) — President Donald Trump is moving to block nearly all foreign students from entering the country to attend Harvard University, his latest attempt to choke the Ivy League school from an international pipeline that accounts for a quarter of the student body.
In an executive order signed Wednesday, Trump declared that it would jeopardize national security to allow Harvard to continue hosting forei",2.766,Trump-Related Conflicts Involving Education/Government Funding,2,0.01,4.0,3.9,2.0,3.0,5.0,"Trump is aiming to stop Harvard University&#8217;s foreign students from entering the U.S.Collin Binkley, Associated Press
Collin Binkley, Associated Press
Leave your feedback
WASHINGTON (AP) — President Donald Trump is moving to block nearly all foreign students from entering the country to attend Harvard University, his latest attempt to choke the Ivy League school from an international pipeline that accounts for a quarter of the student body.
In an executive order signed Wednesday, Trump declared that it would jeopardize national security to allow Harvard to continue hosting forei",0.40034443,0.72789264,-0.015828729,0.42151076,1.7591152671575547,2,0.7,1.2313806870102881
2025-06-10 00:00:00+00:00,151.0,Research Funding Disruption,Researchers warn U.S. is on the &lsquo;precipice&rsquo; of brain drain as Trump cuts federal grants,"Laura Santhanam
Laura Santhanam
Leave your feedback
Detecting tuberculosis can be tricky.
The time between getting infected and presenting with symptoms can span months or even years. To trace this contagious disease, Melanie Chitwood, a postdoctoral associate who studies the epidemiology of microbial diseases, worked with colleagues at Yale University to sequence the bacteria’s genomic data, using that as a signal to detect transmission.
Generations ago, public health workers in the United Stat",2.826,Researchers warn U.S. is on the &lsquo;precipice&rsquo; of brain drain as Trump cuts federal grants,2,0.74,4.0,3.9,1.0,3.0,5.0,"Researchers warn U.S. is on the &lsquo;precipice&rsquo; of brain drain as Trump cuts federal grantsLaura Santhanam
Laura Santhanam
Leave your feedback
Detecting tuberculosis can be tricky.
The time between getting infected and presenting with symptoms can span months or even years. To trace this contagious disease, Melanie Chitwood, a postdoctoral associate who studies the epidemiology of microbial diseases, worked with colleagues at Yale University to sequence the bacteria’s genomic data, using that as a signal to detect transmission.
Generations ago, public health workers in the United Stat",0.20202272,0.04170456,-0.10982075,0.1000729,0.16734176342189314,1,1.0,0.16734176342189314
